Estimator,relationship,Relatedness_Value,,,,
LRM,Full-Sibs,0.784,0.5,,,
LRM,Full-Sibs,0.3064,0.5,,,Wilcoxon signed rank test
LRM,Full-Sibs,0.4605,0.5,,,
LRM,Full-Sibs,0.5907,0.5,,data:  LRM_FS_Wilcoxon$Relatedness_Value and LRM_FS_Wilcoxon$...4,
LRM,Full-Sibs,0.6195,0.5,,"V = 98850, p-value = 0.04056",
LRM,Full-Sibs,0.3921,0.5,,alternative hypothesis: true location shift is not equal to 0,
LRM,Full-Sibs,0.5415,0.5,,95 percent confidence interval:,
LRM,Full-Sibs,0.6595,0.5,, 0.000513667 0.024916589,
LRM,Full-Sibs,0.4022,0.5,,sample estimates:,
LRM,Full-Sibs,0.1541,0.5,,(pseudo)median ,
LRM,Full-Sibs,0.5132,0.5,,0.01275585,
LRM,Full-Sibs,0.4979,0.5,,,
LRM,Full-Sibs,0.654,0.5,,0.145720877,
LRM,Full-Sibs,0.5534,0.5,,0.011659885,
LRM,Full-Sibs,0.6329,0.5,,,
LRM,Full-Sibs,0.6468,0.5,,,
LRM,Full-Sibs,0.3893,0.5,,,
LRM,Full-Sibs,0.5218,0.5,,,
LRM,Full-Sibs,0.5628,0.5,,,
LRM,Full-Sibs,0.5558,0.5,,,
LRM,Full-Sibs,0.2815,0.5,,,
LRM,Full-Sibs,0.2239,0.5,,,
LRM,Full-Sibs,0.5122,0.5,,,
LRM,Full-Sibs,0.4413,0.5,,,
LRM,Full-Sibs,0.3847,0.5,,,
LRM,Full-Sibs,0.6625,0.5,,,
LRM,Full-Sibs,0.5917,0.5,,,
LRM,Full-Sibs,0.4928,0.5,,,
LRM,Full-Sibs,0.6392,0.5,,,
LRM,Full-Sibs,0.4132,0.5,,,
LRM,Full-Sibs,0.3524,0.5,,,
LRM,Full-Sibs,0.7537,0.5,,,
LRM,Full-Sibs,0.4836,0.5,,,
LRM,Full-Sibs,0.4345,0.5,,,
LRM,Full-Sibs,0.5193,0.5,,,
LRM,Full-Sibs,0.7384,0.5,,,
LRM,Full-Sibs,0.5429,0.5,,,
LRM,Full-Sibs,0.5867,0.5,,,
LRM,Full-Sibs,0.4252,0.5,,,
LRM,Full-Sibs,0.6888,0.5,,,
LRM,Full-Sibs,0.3852,0.5,,,
LRM,Full-Sibs,0.6735,0.5,,,
LRM,Full-Sibs,0.4222,0.5,,,
LRM,Full-Sibs,0.5567,0.5,,,
LRM,Full-Sibs,0.3673,0.5,,,
LRM,Full-Sibs,0.61,0.5,,,
LRM,Full-Sibs,0.5347,0.5,,,
LRM,Full-Sibs,0.6263,0.5,,,
LRM,Full-Sibs,0.7732,0.5,,,
LRM,Full-Sibs,0.4493,0.5,,,
LRM,Full-Sibs,0.388,0.5,,,
LRM,Full-Sibs,0.4399,0.5,,,
LRM,Full-Sibs,0.4288,0.5,,,
LRM,Full-Sibs,0.7441,0.5,,,
LRM,Full-Sibs,0.6775,0.5,,,
LRM,Full-Sibs,0.5659,0.5,,,
LRM,Full-Sibs,0.4428,0.5,,,
LRM,Full-Sibs,0.403,0.5,,,
LRM,Full-Sibs,0.5191,0.5,,,
LRM,Full-Sibs,0.5065,0.5,,,
LRM,Full-Sibs,0.4442,0.5,,,
LRM,Full-Sibs,0.6559,0.5,,,
LRM,Full-Sibs,0.443,0.5,,,
LRM,Full-Sibs,0.6466,0.5,,,
LRM,Full-Sibs,0.5693,0.5,,,
LRM,Full-Sibs,0.4253,0.5,,,
LRM,Full-Sibs,0.4847,0.5,,,
LRM,Full-Sibs,0.6663,0.5,,,
LRM,Full-Sibs,0.8119,0.5,,,
LRM,Full-Sibs,0.4968,0.5,,,
LRM,Full-Sibs,0.4506,0.5,,,
LRM,Full-Sibs,0.3577,0.5,,,
LRM,Full-Sibs,0.2983,0.5,,,
LRM,Full-Sibs,0.4173,0.5,,,
LRM,Full-Sibs,0.5788,0.5,,,
LRM,Full-Sibs,0.6859,0.5,,,
LRM,Full-Sibs,0.5943,0.5,,,
LRM,Full-Sibs,0.3561,0.5,,,
LRM,Full-Sibs,0.5686,0.5,,,
LRM,Full-Sibs,0.5552,0.5,,,
LRM,Full-Sibs,0.4563,0.5,,,
LRM,Full-Sibs,0.668,0.5,,,
LRM,Full-Sibs,0.7322,0.5,,,
LRM,Full-Sibs,0.5456,0.5,,,
LRM,Full-Sibs,0.3851,0.5,,,
LRM,Full-Sibs,0.5113,0.5,,,
LRM,Full-Sibs,0.3184,0.5,,,
LRM,Full-Sibs,0.4063,0.5,,,
LRM,Full-Sibs,0.6845,0.5,,,
LRM,Full-Sibs,0.4496,0.5,,,
LRM,Full-Sibs,0.4959,0.5,,,
LRM,Full-Sibs,0.5798,0.5,,,
LRM,Full-Sibs,0.5848,0.5,,,
LRM,Full-Sibs,0.7926,0.5,,,
LRM,Full-Sibs,0.1006,0.5,,,
LRM,Full-Sibs,0.3866,0.5,,,
LRM,Full-Sibs,0.5453,0.5,,,
LRM,Full-Sibs,0.5095,0.5,,,
LRM,Full-Sibs,0.4332,0.5,,,
LRM,Full-Sibs,0.5711,0.5,,,
LRM,Full-Sibs,0.5261,0.5,,,
LRM,Full-Sibs,0.7699,0.5,,,
LRM,Full-Sibs,0.4356,0.5,,,
LRM,Full-Sibs,0.6843,0.5,,,
LRM,Full-Sibs,0.5597,0.5,,,
LRM,Full-Sibs,0.6748,0.5,,,
LRM,Full-Sibs,0.6261,0.5,,,
LRM,Full-Sibs,0.5397,0.5,,,
LRM,Full-Sibs,0.4812,0.5,,,
LRM,Full-Sibs,0.5705,0.5,,,
LRM,Full-Sibs,0.2975,0.5,,,
LRM,Full-Sibs,0.5591,0.5,,,
LRM,Full-Sibs,0.4079,0.5,,,
LRM,Full-Sibs,0.5539,0.5,,,
LRM,Full-Sibs,0.4871,0.5,,,
LRM,Full-Sibs,0.5161,0.5,,,
LRM,Full-Sibs,0.4366,0.5,,,
LRM,Full-Sibs,0.435,0.5,,,
LRM,Full-Sibs,0.6472,0.5,,,
LRM,Full-Sibs,0.647,0.5,,,
LRM,Full-Sibs,0.5904,0.5,,,
