Estimator,relationship,Relatedness_Value,,,
LRM,Half-Sibs,0.1479,0.25,,Wilcoxon signed rank test
LRM,Half-Sibs,0.275,0.25,,
LRM,Half-Sibs,0.4736,0.25,,data:  LRM_HS_Wilcoxon$Relatedness_Value and LRM_HS_Wilcoxon$...4
LRM,Half-Sibs,0.3764,0.25,,"V = 92382, p-value = 0.5992"
LRM,Half-Sibs,0.2239,0.25,,alternative hypothesis: true location shift is not equal to 0
LRM,Half-Sibs,0.4333,0.25,,95 percent confidence interval:
LRM,Half-Sibs,0.2334,0.25,, -0.008791209  0.015353944
LRM,Half-Sibs,0.2474,0.25,,sample estimates:
LRM,Half-Sibs,0.4186,0.25,,(pseudo)median 
LRM,Half-Sibs,0.1647,0.25,,0.003326733
LRM,Half-Sibs,0.4307,0.25,,
LRM,Half-Sibs,0.2346,0.25,,
LRM,Half-Sibs,0.2142,0.25,,0.144530078
LRM,Half-Sibs,0.2214,0.25,,0.011564602
LRM,Half-Sibs,0.3854,0.25,,
LRM,Half-Sibs,0.1804,0.25,,
LRM,Half-Sibs,0.3979,0.25,,
LRM,Half-Sibs,0.0837,0.25,,
LRM,Half-Sibs,0.1612,0.25,,
LRM,Half-Sibs,0.508,0.25,,
LRM,Half-Sibs,0.4657,0.25,,
LRM,Half-Sibs,0.3928,0.25,,
LRM,Half-Sibs,0.2388,0.25,,
LRM,Half-Sibs,0.1533,0.25,,
LRM,Half-Sibs,0.4244,0.25,,
LRM,Half-Sibs,0.4438,0.25,,
LRM,Half-Sibs,0.0185,0.25,,
LRM,Half-Sibs,0.0993,0.25,,
LRM,Half-Sibs,0.5649,0.25,,
LRM,Half-Sibs,0.372,0.25,,
LRM,Half-Sibs,0.337,0.25,,
LRM,Half-Sibs,0.2146,0.25,,
LRM,Half-Sibs,0.2239,0.25,,
LRM,Half-Sibs,0.4488,0.25,,
LRM,Half-Sibs,0.2058,0.25,,
LRM,Half-Sibs,0.2457,0.25,,
LRM,Half-Sibs,0.2306,0.25,,
LRM,Half-Sibs,0.1854,0.25,,
LRM,Half-Sibs,0.0699,0.25,,
LRM,Half-Sibs,0.3628,0.25,,
LRM,Half-Sibs,0.3642,0.25,,
LRM,Half-Sibs,0.1146,0.25,,
LRM,Half-Sibs,-1.00E-04,0.25,,
LRM,Half-Sibs,0.1282,0.25,,
LRM,Half-Sibs,0.1685,0.25,,
LRM,Half-Sibs,0.0865,0.25,,
LRM,Half-Sibs,0.2757,0.25,,
LRM,Half-Sibs,0.3185,0.25,,
LRM,Half-Sibs,0.597,0.25,,
LRM,Half-Sibs,0.3928,0.25,,
LRM,Half-Sibs,0.2698,0.25,,
LRM,Half-Sibs,0.2387,0.25,,
LRM,Half-Sibs,0.1972,0.25,,
LRM,Half-Sibs,0.5122,0.25,,
LRM,Half-Sibs,0.3641,0.25,,
LRM,Half-Sibs,0.2375,0.25,,
LRM,Half-Sibs,0.3961,0.25,,
LRM,Half-Sibs,0.372,0.25,,
LRM,Half-Sibs,0.4717,0.25,,
LRM,Half-Sibs,0.148,0.25,,
LRM,Half-Sibs,0.2172,0.25,,
LRM,Half-Sibs,0.4669,0.25,,
LRM,Half-Sibs,0.1563,0.25,,
LRM,Half-Sibs,0.2909,0.25,,
LRM,Half-Sibs,0.2441,0.25,,
LRM,Half-Sibs,0.2201,0.25,,
LRM,Half-Sibs,0.4834,0.25,,
LRM,Half-Sibs,0.5424,0.25,,
LRM,Half-Sibs,0.1368,0.25,,
LRM,Half-Sibs,0.2622,0.25,,
LRM,Half-Sibs,0.3357,0.25,,
LRM,Half-Sibs,0.2979,0.25,,
LRM,Half-Sibs,0.53,0.25,,
LRM,Half-Sibs,0.2549,0.25,,
LRM,Half-Sibs,0.352,0.25,,
LRM,Half-Sibs,0.2899,0.25,,
LRM,Half-Sibs,0.0554,0.25,,
