Estimator,relationship,Relatedness_Value,,,
LRM,Parent-Offspring,0.2798,0.5,,
LRM,Parent-Offspring,0.3457,0.5,,
LRM,Parent-Offspring,0.6187,0.5,,
LRM,Parent-Offspring,0.494,0.5,"> wilcox.test(combineddata_copy$Relatedness_Value, combineddata_copy$...4, mu=0, paired = T, conf.int = T, conf.level = 0.95, exact = F, correct = F)",
LRM,Parent-Offspring,0.4353,0.5,,
LRM,Parent-Offspring,0.4123,0.5,,Wilcoxon signed rank test
LRM,Parent-Offspring,0.489,0.5,,
LRM,Parent-Offspring,0.4185,0.5,data:  combineddata_copy$Relatedness_Value and combineddata_copy$...4,
LRM,Parent-Offspring,0.3761,0.5,"V = 94798, p-value = 0.2429",
LRM,Parent-Offspring,0.5719,0.5,alternative hypothesis: true location shift is not equal to 0,
LRM,Parent-Offspring,0.2676,0.5,95 percent confidence interval:,
LRM,Parent-Offspring,0.3562,0.5, -0.003892903  0.015051530,
LRM,Parent-Offspring,0.3053,0.5,sample estimates:,
LRM,Parent-Offspring,0.4108,0.5,(pseudo)median ,
LRM,Parent-Offspring,0.441,0.5,0.005698053,
LRM,Parent-Offspring,0.539,0.5,,
LRM,Parent-Offspring,0.356,0.5,,0.114205683
LRM,Parent-Offspring,0.3614,0.5,,0.00913819
LRM,Parent-Offspring,0.6027,0.5,,
LRM,Parent-Offspring,0.2794,0.5,,
LRM,Parent-Offspring,0.3329,0.5,,
LRM,Parent-Offspring,0.5582,0.5,,
LRM,Parent-Offspring,0.5241,0.5,,
LRM,Parent-Offspring,0.4321,0.5,,
LRM,Parent-Offspring,0.5224,0.5,,
LRM,Parent-Offspring,0.5088,0.5,,
LRM,Parent-Offspring,0.6337,0.5,,
LRM,Parent-Offspring,0.2744,0.5,,
LRM,Parent-Offspring,0.5862,0.5,,
LRM,Parent-Offspring,0.3303,0.5,,
LRM,Parent-Offspring,0.5597,0.5,,
LRM,Parent-Offspring,0.5313,0.5,,
LRM,Parent-Offspring,0.4252,0.5,,
LRM,Parent-Offspring,0.3356,0.5,,
LRM,Parent-Offspring,0.4182,0.5,,
LRM,Parent-Offspring,0.5015,0.5,,
LRM,Parent-Offspring,0.6853,0.5,,
LRM,Parent-Offspring,0.5418,0.5,,
LRM,Parent-Offspring,0.5964,0.5,,
LRM,Parent-Offspring,0.388,0.5,,
LRM,Parent-Offspring,0.6686,0.5,,
LRM,Parent-Offspring,0.4777,0.5,,
LRM,Parent-Offspring,0.5092,0.5,,
LRM,Parent-Offspring,0.285,0.5,,
LRM,Parent-Offspring,0.6095,0.5,,
LRM,Parent-Offspring,0.6221,0.5,,
LRM,Parent-Offspring,0.6564,0.5,,
LRM,Parent-Offspring,0.3053,0.5,,
LRM,Parent-Offspring,0.7068,0.5,,
LRM,Parent-Offspring,0.4478,0.5,,
LRM,Parent-Offspring,0.3982,0.5,,
LRM,Parent-Offspring,0.5014,0.5,,
LRM,Parent-Offspring,0.2882,0.5,,
LRM,Parent-Offspring,0.4689,0.5,,
LRM,Parent-Offspring,0.4216,0.5,,
LRM,Parent-Offspring,0.7209,0.5,,
LRM,Parent-Offspring,0.5612,0.5,,
LRM,Parent-Offspring,0.4491,0.5,,
LRM,Parent-Offspring,0.6033,0.5,,
LRM,Parent-Offspring,0.7015,0.5,,
LRM,Parent-Offspring,0.4438,0.5,,
LRM,Parent-Offspring,0.3648,0.5,,
LRM,Parent-Offspring,0.4771,0.5,,
LRM,Parent-Offspring,0.5204,0.5,,
LRM,Parent-Offspring,0.3211,0.5,,
LRM,Parent-Offspring,0.6725,0.5,,
LRM,Parent-Offspring,0.5703,0.5,,
LRM,Parent-Offspring,0.468,0.5,,
LRM,Parent-Offspring,0.6651,0.5,,
LRM,Parent-Offspring,0.6559,0.5,,
LRM,Parent-Offspring,0.7502,0.5,,
LRM,Parent-Offspring,0.5454,0.5,,
LRM,Parent-Offspring,0.5061,0.5,,
LRM,Parent-Offspring,0.6636,0.5,,
LRM,Parent-Offspring,0.2956,0.5,,
LRM,Parent-Offspring,0.5976,0.5,,
LRM,Parent-Offspring,0.4506,0.5,,
LRM,Parent-Offspring,0.506,0.5,,
LRM,Parent-Offspring,0.4704,0.5,,
LRM,Parent-Offspring,0.3706,0.5,,
LRM,Parent-Offspring,0.4805,0.5,,
LRM,Parent-Offspring,0.4274,0.5,,
LRM,Parent-Offspring,0.5728,0.5,,
LRM,Parent-Offspring,0.1984,0.5,,
LRM,Parent-Offspring,0.4565,0.5,,
LRM,Parent-Offspring,0.5714,0.5,,
LRM,Parent-Offspring,0.4863,0.5,,
LRM,Parent-Offspring,0.6147,0.5,,
LRM,Parent-Offspring,0.3232,0.5,,
LRM,Parent-Offspring,0.5379,0.5,,
LRM,Parent-Offspring,0.5675,0.5,,
LRM,Parent-Offspring,0.4636,0.5,,
LRM,Parent-Offspring,0.4672,0.5,,
LRM,Parent-Offspring,0.4005,0.5,,
LRM,Parent-Offspring,0.4198,0.5,,
LRM,Parent-Offspring,0.5588,0.5,,
LRM,Parent-Offspring,0.5837,0.5,,
LRM,Parent-Offspring,0.5062,0.5,,
LRM,Parent-Offspring,0.705,0.5,,
LRM,Parent-Offspring,0.5009,0.5,,
LRM,Parent-Offspring,0.4548,0.5,,
LRM,Parent-Offspring,0.5773,0.5,,
LRM,Parent-Offspring,0.4734,0.5,,
LRM,Parent-Offspring,0.4411,0.5,,
LRM,Parent-Offspring,0.5505,0.5,,
LRM,Parent-Offspring,0.5612,0.5,,
LRM,Parent-Offspring,0.5894,0.5,,
LRM,Parent-Offspring,0.6556,0.5,,
LRM,Parent-Offspring,0.4631,0.5,,
LRM,Parent-Offspring,0.4741,0.5,,
LRM,Parent-Offspring,0.4453,0.5,,
LRM,Parent-Offspring,0.3134,0.5,,
LRM,Parent-Offspring,0.5709,0.5,,
LRM,Parent-Offspring,0.1918,0.5,,
LRM,Parent-Offspring,0.6289,0.5,,
LRM,Parent-Offspring,0.5959,0.5,,
LRM,Parent-Offspring,0.4382,0.5,,
LRM,Parent-Offspring,0.3648,0.5,,
LRM,Parent-Offspring,0.2743,0.5,,
LRM,Parent-Offspring,0.5581,0.5,,
LRM,Parent-Offspring,0.3584,0.5,,
LRM,Parent-Offspring,0.5014,0.5,,
LRM,Parent-Offspring,0.5189,0.5,,
LRM,Parent-Offspring,0.7071,0.5,,
LRM,Parent-Offspring,0.4161,0.5,,
LRM,Parent-Offspring,0.519,0.5,,
LRM,Parent-Offspring,0.3597,0.5,,
LRM,Parent-Offspring,0.5242,0.5,,
LRM,Parent-Offspring,0.4386,0.5,,
LRM,Parent-Offspring,0.511,0.5,,
LRM,Parent-Offspring,0.508,0.5,,
LRM,Parent-Offspring,0.5959,0.5,,
LRM,Parent-Offspring,0.3065,0.5,,
LRM,Parent-Offspring,0.4851,0.5,,
LRM,Parent-Offspring,0.4953,0.5,,
LRM,Parent-Offspring,0.5317,0.5,,
LRM,Parent-Offspring,0.4001,0.5,,
LRM,Parent-Offspring,0.5754,0.5,,
LRM,Parent-Offspring,0.532,0.5,,
LRM,Parent-Offspring,0.675,0.5,,
LRM,Parent-Offspring,0.3781,0.5,,
LRM,Parent-Offspring,0.5094,0.5,,
LRM,Parent-Offspring,0.6005,0.5,,
LRM,Parent-Offspring,0.4951,0.5,,
LRM,Parent-Offspring,0.7898,0.5,,
LRM,Parent-Offspring,0.5718,0.5,,
LRM,Parent-Offspring,0.2574,0.5,,
LRM,Parent-Offspring,0.3408,0.5,,
LRM,Parent-Offspring,0.6564,0.5,,
LRM,Parent-Offspring,0.5139,0.5,,
LRM,Parent-Offspring,0.5351,0.5,,
LRM,Parent-Offspring,0.3974,0.5,,
LRM,Parent-Offspring,0.3008,0.5,,
LRM,Parent-Offspring,0.4905,0.5,,
LRM,Parent-Offspring,0.4447,0.5,,
LRM,Parent-Offspring,0.5406,0.5,,
LRM,Parent-Offspring,0.2924,0.5,,
LRM,Parent-Offspring,0.4153,0.5,,
LRM,Parent-Offspring,0.4753,0.5,,
LRM,Parent-Offspring,0.6454,0.5,,
LRM,Parent-Offspring,0.3819,0.5,,
LRM,Parent-Offspring,0.5561,0.5,,
LRM,Parent-Offspring,0.4208,0.5,,
LRM,Parent-Offspring,0.2994,0.5,,
LRM,Parent-Offspring,0.5804,0.5,,
LRM,Parent-Offspring,0.5501,0.5,,
LRM,Parent-Offspring,0.5282,0.5,,
LRM,Parent-Offspring,0.516,0.5,,
LRM,Parent-Offspring,0.6158,0.5,,
LRM,Parent-Offspring,0.62,0.5,,
LRM,Parent-Offspring,0.5053,0.5,,
LRM,Parent-Offspring,0.4405,0.5,,
LRM,Parent-Offspring,0.5487,0.5,,
LRM,Parent-Offspring,0.4699,0.5,,
LRM,Parent-Offspring,0.7232,0.5,,
LRM,Parent-Offspring,0.5812,0.5,,
LRM,Parent-Offspring,0.5159,0.5,,
LRM,Parent-Offspring,0.4357,0.5,,
LRM,Parent-Offspring,0.373,0.5,,
LRM,Parent-Offspring,0.6506,0.5,,
LRM,Parent-Offspring,0.6149,0.5,,
LRM,Parent-Offspring,0.6351,0.5,,
LRM,Parent-Offspring,0.6455,0.5,,
LRM,Parent-Offspring,0.6908,0.5,,
LRM,Parent-Offspring,0.4235,0.5,,
LRM,Parent-Offspring,0.5379,0.5,,
LRM,Parent-Offspring,0.5362,0.5,,
