Estimator,relationship,Relatedness_Value,,,,,
LRM,Unrelated,0.157,0,,,,
LRM,Unrelated,-0.0287,0,,,"> wilcox.test(LRM_UR_Wilcoxon$Relatedness_Value, LRM_UR_Wilcoxon$...4, mu=0, paired = T, conf.int = T, conf.level = 0.95, exact = F, correct = F)",
LRM,Unrelated,0.1028,0,,,,
LRM,Unrelated,-0.085,0,,,,Wilcoxon signed rank test
LRM,Unrelated,2.00E-04,0,,,,
LRM,Unrelated,0.1555,0,,,data:  LRM_UR_Wilcoxon$Relatedness_Value and LRM_UR_Wilcoxon$...4,
LRM,Unrelated,-0.0651,0,,,"V = 86508, p-value = 0.3912",
LRM,Unrelated,0.0709,0,,,alternative hypothesis: true location shift is not equal to 0,
LRM,Unrelated,-0.1109,0,,,95 percent confidence interval:,
LRM,Unrelated,-0.1352,0,,, -0.013045148  0.005190141,
LRM,Unrelated,0.2194,0,,,sample estimates:,
LRM,Unrelated,-0.076,0,,,(pseudo)median ,
LRM,Unrelated,0.0343,0,,,-0.003912032,
LRM,Unrelated,0.0184,0,,,,
LRM,Unrelated,0.1002,0,,,,
LRM,Unrelated,-0.0785,0,,,,
LRM,Unrelated,-0.0399,0,,,,
LRM,Unrelated,0.016,0,,0.111061721,,
LRM,Unrelated,-0.0436,0,,0.008886625,,
LRM,Unrelated,-0.1123,0,,,,
LRM,Unrelated,0.1252,0,,,,
LRM,Unrelated,-0.0284,0,,,,
LRM,Unrelated,-0.0847,0,,,,
LRM,Unrelated,0.073,0,,,,
LRM,Unrelated,0.0199,0,,,,
LRM,Unrelated,-0.1164,0,,,,
LRM,Unrelated,0.0453,0,,,,
LRM,Unrelated,-0.0398,0,,,,
LRM,Unrelated,-0.0197,0,,,,
LRM,Unrelated,0.1142,0,,,,
LRM,Unrelated,-0.0667,0,,,,
LRM,Unrelated,-0.0265,0,,,,
LRM,Unrelated,0.1627,0,,,,
LRM,Unrelated,0.0955,0,,,,
LRM,Unrelated,0.1125,0,,,,
LRM,Unrelated,-0.1015,0,,,,
LRM,Unrelated,-0.029,0,,,,
LRM,Unrelated,-0.0811,0,,,,
LRM,Unrelated,-0.0186,0,,,,
LRM,Unrelated,0.1351,0,,,,
LRM,Unrelated,-0.1209,0,,,,
LRM,Unrelated,-0.0406,0,,,,
LRM,Unrelated,-0.1031,0,,,,
LRM,Unrelated,0.0733,0,,,,
LRM,Unrelated,0.0329,0,,,,
LRM,Unrelated,-0.1685,0,,,,
LRM,Unrelated,-0.0963,0,,,,
LRM,Unrelated,-0.0388,0,,,,
LRM,Unrelated,0.069,0,,,,
LRM,Unrelated,-0.1137,0,,,,
LRM,Unrelated,0.0483,0,,,,
LRM,Unrelated,-0.0483,0,,,,
LRM,Unrelated,0.0907,0,,,,
LRM,Unrelated,-0.07,0,,,,
LRM,Unrelated,0.2328,0,,,,
LRM,Unrelated,0.239,0,,,,
LRM,Unrelated,0.0926,0,,,,
LRM,Unrelated,0.1463,0,,,,
LRM,Unrelated,0.0176,0,,,,
LRM,Unrelated,-0.0486,0,,,,
LRM,Unrelated,0.047,0,,,,
LRM,Unrelated,-0.1233,0,,,,
LRM,Unrelated,-0.2064,0,,,,
LRM,Unrelated,0.0972,0,,,,
LRM,Unrelated,-0.0759,0,,,,
LRM,Unrelated,-0.0749,0,,,,
LRM,Unrelated,0.043,0,,,,
LRM,Unrelated,0.1959,0,,,,
LRM,Unrelated,0.1864,0,,,,
LRM,Unrelated,0.2156,0,,,,
LRM,Unrelated,0.103,0,,,,
LRM,Unrelated,-0.0976,0,,,,
LRM,Unrelated,-0.1548,0,,,,
LRM,Unrelated,-0.1411,0,,,,
LRM,Unrelated,-0.0884,0,,,,
LRM,Unrelated,0.1354,0,,,,
LRM,Unrelated,-0.0812,0,,,,
LRM,Unrelated,-0.0939,0,,,,
LRM,Unrelated,0.0286,0,,,,
