Estimator,relationship,Relatedness_Value,,,
QGM,Full-Sibs,0.8658,0.5,,
QGM,Full-Sibs,0.3912,0.5,,Wilcoxon signed rank test
QGM,Full-Sibs,0.5914,0.5,,
QGM,Full-Sibs,0.4984,0.5,,data:  QGM_FS_Wilcoxon$Relatedness_Value and QGM_FS_Wilcoxon$...4
QGM,Full-Sibs,0.6865,0.5,,"V = 97186, p-value = 0.09765"
QGM,Full-Sibs,0.3819,0.5,,alternative hypothesis: true location shift is not equal to 0
QGM,Full-Sibs,0.5233,0.5,,95 percent confidence interval:
QGM,Full-Sibs,0.7118,0.5,, -0.00166164  0.02036439
QGM,Full-Sibs,0.4125,0.5,,sample estimates:
QGM,Full-Sibs,0.2297,0.5,,(pseudo)median 
QGM,Full-Sibs,0.4502,0.5,,0.009447233
QGM,Full-Sibs,0.4758,0.5,,
QGM,Full-Sibs,0.5671,0.5,,
QGM,Full-Sibs,0.6354,0.5,,0.5066925
QGM,Full-Sibs,0.5052,0.5,,0.133433843
QGM,Full-Sibs,0.5878,0.5,,0.010676735
QGM,Full-Sibs,0.1854,0.5,,
QGM,Full-Sibs,0.622,0.5,,
QGM,Full-Sibs,0.4645,0.5,,
QGM,Full-Sibs,0.5716,0.5,,
QGM,Full-Sibs,0.2992,0.5,,
QGM,Full-Sibs,0.4572,0.5,,
QGM,Full-Sibs,0.64,0.5,,
QGM,Full-Sibs,0.5289,0.5,,
QGM,Full-Sibs,0.4581,0.5,,
QGM,Full-Sibs,0.5437,0.5,,
QGM,Full-Sibs,0.664,0.5,,
QGM,Full-Sibs,0.5519,0.5,,
QGM,Full-Sibs,0.4911,0.5,,
QGM,Full-Sibs,0.4479,0.5,,
QGM,Full-Sibs,0.5384,0.5,,
QGM,Full-Sibs,0.7055,0.5,,
QGM,Full-Sibs,0.4532,0.5,,
QGM,Full-Sibs,0.4709,0.5,,
QGM,Full-Sibs,0.5973,0.5,,
QGM,Full-Sibs,0.5822,0.5,,
QGM,Full-Sibs,0.6977,0.5,,
QGM,Full-Sibs,0.532,0.5,,
QGM,Full-Sibs,0.5325,0.5,,
QGM,Full-Sibs,0.4386,0.5,,
QGM,Full-Sibs,0.4853,0.5,,
QGM,Full-Sibs,0.5905,0.5,,
QGM,Full-Sibs,0.457,0.5,,
QGM,Full-Sibs,0.5806,0.5,,
QGM,Full-Sibs,0.5923,0.5,,
QGM,Full-Sibs,0.5736,0.5,,
QGM,Full-Sibs,0.5941,0.5,,
QGM,Full-Sibs,0.4873,0.5,,
QGM,Full-Sibs,0.7088,0.5,,
QGM,Full-Sibs,0.5161,0.5,,
QGM,Full-Sibs,0.4979,0.5,,
QGM,Full-Sibs,0.5184,0.5,,
QGM,Full-Sibs,0.326,0.5,,
QGM,Full-Sibs,0.6593,0.5,,
QGM,Full-Sibs,0.5923,0.5,,
