Estimator,relationship,Relatedness_Value,,,,
QGM,Half-Sibs,0.1653,0.25,,,
QGM,Half-Sibs,0.1851,0.25,,,
QGM,Half-Sibs,0.4597,0.25,,,Wilcoxon signed rank test
QGM,Half-Sibs,0.3139,0.25,,,
QGM,Half-Sibs,0.2157,0.25,,data:  QGM_HS_Wilcoxon$Relatedness_Value and QGM_HS_Wilcoxon$...4,
QGM,Half-Sibs,0.2846,0.25,,"V = 93874, p-value = 0.3806",
QGM,Half-Sibs,0.371,0.25,,alternative hypothesis: true location shift is not equal to 0,
QGM,Half-Sibs,0.2562,0.25,,95 percent confidence interval:,
QGM,Half-Sibs,0.3007,0.25,, -0.006437039  0.016746593,
QGM,Half-Sibs,0.0371,0.25,,sample estimates:,
QGM,Half-Sibs,0.4239,0.25,,(pseudo)median ,
QGM,Half-Sibs,0.228,0.25,,0.005052078,
QGM,Half-Sibs,0.322,0.25,,,
QGM,Half-Sibs,0.3015,0.25,,0.139442668,
QGM,Half-Sibs,0.2081,0.25,,0.011157532,
QGM,Half-Sibs,0.1859,0.25,,,
QGM,Half-Sibs,0.4312,0.25,,,
QGM,Half-Sibs,0.2097,0.25,,,
QGM,Half-Sibs,0.3848,0.25,,,
QGM,Half-Sibs,0.4012,0.25,,,
QGM,Half-Sibs,0.3016,0.25,,,
QGM,Half-Sibs,0.1863,0.25,,,
QGM,Half-Sibs,0.3539,0.25,,,
QGM,Half-Sibs,0.1456,0.25,,,
QGM,Half-Sibs,0.4418,0.25,,,
QGM,Half-Sibs,0.2549,0.25,,,
QGM,Half-Sibs,0.1445,0.25,,,
QGM,Half-Sibs,0.202,0.25,,,
QGM,Half-Sibs,0.3276,0.25,,,
QGM,Half-Sibs,0.4773,0.25,,,
QGM,Half-Sibs,0.314,0.25,,,
QGM,Half-Sibs,0.1874,0.25,,,
QGM,Half-Sibs,0.3628,0.25,,,
QGM,Half-Sibs,0.3271,0.25,,,
QGM,Half-Sibs,0.0412,0.25,,,
QGM,Half-Sibs,0.3273,0.25,,,
QGM,Half-Sibs,0.2235,0.25,,,
QGM,Half-Sibs,0.1529,0.25,,,
QGM,Half-Sibs,0.1387,0.25,,,
QGM,Half-Sibs,0.3626,0.25,,,
QGM,Half-Sibs,0.3668,0.25,,,
QGM,Half-Sibs,0.3012,0.25,,,
QGM,Half-Sibs,-0.0138,0.25,,,
QGM,Half-Sibs,0.233,0.25,,,
QGM,Half-Sibs,0.2005,0.25,,,
QGM,Half-Sibs,0.055,0.25,,,
QGM,Half-Sibs,0.3142,0.25,,,
QGM,Half-Sibs,0.4089,0.25,,,
QGM,Half-Sibs,0.526,0.25,,,
QGM,Half-Sibs,0.2138,0.25,,,
QGM,Half-Sibs,0.3838,0.25,,,
QGM,Half-Sibs,0.2611,0.25,,,
QGM,Half-Sibs,0.0301,0.25,,,
QGM,Half-Sibs,0.3766,0.25,,,
QGM,Half-Sibs,0.3778,0.25,,,
QGM,Half-Sibs,0.3769,0.25,,,
QGM,Half-Sibs,0.3567,0.25,,,
QGM,Half-Sibs,0.2418,0.25,,,
QGM,Half-Sibs,0.2549,0.25,,,
QGM,Half-Sibs,0.1438,0.25,,,
QGM,Half-Sibs,0.3821,0.25,,,
QGM,Half-Sibs,0.103,0.25,,,
QGM,Half-Sibs,0.1078,0.25,,,
QGM,Half-Sibs,0.2806,0.25,,,
QGM,Half-Sibs,0.5172,0.25,,,
QGM,Half-Sibs,0.291,0.25,,,
QGM,Half-Sibs,0.2594,0.25,,,
QGM,Half-Sibs,0.2869,0.25,,,
QGM,Half-Sibs,0.2274,0.25,,,
QGM,Half-Sibs,0.2373,0.25,,,
QGM,Half-Sibs,0.2056,0.25,,,
QGM,Half-Sibs,0.3971,0.25,,,
QGM,Half-Sibs,0.4168,0.25,,,
QGM,Half-Sibs,0.197,0.25,,,
QGM,Half-Sibs,0.2497,0.25,,,
QGM,Half-Sibs,0.2092,0.25,,,
QGM,Half-Sibs,0.2795,0.25,,,
QGM,Half-Sibs,0.4205,0.25,,,
QGM,Half-Sibs,-0.0386,0.25,,,
QGM,Half-Sibs,0.0559,0.25,,,
QGM,Half-Sibs,0.3766,0.25,,,
QGM,Half-Sibs,0.2878,0.25,,,
QGM,Half-Sibs,0.1513,0.25,,,
QGM,Half-Sibs,0.394,0.25,,,
QGM,Half-Sibs,0.2973,0.25,,,
QGM,Half-Sibs,0.2686,0.25,,,
QGM,Half-Sibs,0.2795,0.25,,,
QGM,Half-Sibs,0.2349,0.25,,,
QGM,Half-Sibs,0.259,0.25,,,
QGM,Half-Sibs,0.0302,0.25,,,
QGM,Half-Sibs,0.3377,0.25,,,
QGM,Half-Sibs,0.3563,0.25,,,
QGM,Half-Sibs,0.1805,0.25,,,
QGM,Half-Sibs,0.1555,0.25,,,
QGM,Half-Sibs,0.1448,0.25,,,
QGM,Half-Sibs,0.2883,0.25,,,
QGM,Half-Sibs,0.278,0.25,,,
QGM,Half-Sibs,0.2514,0.25,,,
QGM,Half-Sibs,0.3496,0.25,,,
QGM,Half-Sibs,0.4594,0.25,,,
QGM,Half-Sibs,0.044,0.25,,,
QGM,Half-Sibs,0.2902,0.25,,,
QGM,Half-Sibs,0.288,0.25,,,
QGM,Half-Sibs,0.4544,0.25,,,
QGM,Half-Sibs,0.3841,0.25,,,
QGM,Half-Sibs,0.3242,0.25,,,
QGM,Half-Sibs,0.1832,0.25,,,
QGM,Half-Sibs,0.2632,0.25,,,
QGM,Half-Sibs,0.2332,0.25,,,
QGM,Half-Sibs,0.1488,0.25,,,
QGM,Half-Sibs,0.351,0.25,,,
QGM,Half-Sibs,0.4681,0.25,,,
QGM,Half-Sibs,0.212,0.25,,,
QGM,Half-Sibs,0.1517,0.25,,,
QGM,Half-Sibs,0.2449,0.25,,,
QGM,Half-Sibs,0.0849,0.25,,,
QGM,Half-Sibs,0.4735,0.25,,,
QGM,Half-Sibs,0.3458,0.25,,,
QGM,Half-Sibs,0.3791,0.25,,,
QGM,Half-Sibs,0.4387,0.25,,,
QGM,Half-Sibs,0.0499,0.25,,,
QGM,Half-Sibs,0.3788,0.25,,,
QGM,Half-Sibs,0.3409,0.25,,,
QGM,Half-Sibs,0.0596,0.25,,,
QGM,Half-Sibs,0.365,0.25,,,
QGM,Half-Sibs,0.0436,0.25,,,
QGM,Half-Sibs,0.1295,0.25,,,
QGM,Half-Sibs,0.3441,0.25,,,
QGM,Half-Sibs,0.5127,0.25,,,
QGM,Half-Sibs,0.0369,0.25,,,
QGM,Half-Sibs,0.1553,0.25,,,
QGM,Half-Sibs,0.6524,0.25,,,
QGM,Half-Sibs,0.2905,0.25,,,
QGM,Half-Sibs,0.3806,0.25,,,
QGM,Half-Sibs,0.2589,0.25,,,
QGM,Half-Sibs,0.2799,0.25,,,
QGM,Half-Sibs,0.3916,0.25,,,
QGM,Half-Sibs,0.2794,0.25,,,
QGM,Half-Sibs,0.0917,0.25,,,
QGM,Half-Sibs,0.3233,0.25,,,
QGM,Half-Sibs,0.3348,0.25,,,
QGM,Half-Sibs,0.5063,0.25,,,
QGM,Half-Sibs,0.1652,0.25,,,
QGM,Half-Sibs,0.1967,0.25,,,
QGM,Half-Sibs,0.2152,0.25,,,
QGM,Half-Sibs,0.4283,0.25,,,
QGM,Half-Sibs,0.2096,0.25,,,
QGM,Half-Sibs,-0.0303,0.25,,,
QGM,Half-Sibs,0.1546,0.25,,,
QGM,Half-Sibs,0.1489,0.25,,,
QGM,Half-Sibs,0.2915,0.25,,,
QGM,Half-Sibs,0.1374,0.25,,,
QGM,Half-Sibs,0.357,0.25,,,
QGM,Half-Sibs,0.141,0.25,,,
QGM,Half-Sibs,0.4142,0.25,,,
QGM,Half-Sibs,-0.0302,0.25,,,
QGM,Half-Sibs,0.2001,0.25,,,
QGM,Half-Sibs,0.1857,0.25,,,
QGM,Half-Sibs,0.2707,0.25,,,
QGM,Half-Sibs,0.3984,0.25,,,
QGM,Half-Sibs,0.6494,0.25,,,
QGM,Half-Sibs,0.3297,0.25,,,
QGM,Half-Sibs,0.0492,0.25,,,
QGM,Half-Sibs,0.243,0.25,,,
QGM,Half-Sibs,0.1564,0.25,,,
QGM,Half-Sibs,0.0538,0.25,,,
QGM,Half-Sibs,0.215,0.25,,,
QGM,Half-Sibs,0.1728,0.25,,,
QGM,Half-Sibs,0.2733,0.25,,,
QGM,Half-Sibs,0.2689,0.25,,,
QGM,Half-Sibs,0.1991,0.25,,,
QGM,Half-Sibs,0.4195,0.25,,,
QGM,Half-Sibs,0.167,0.25,,,
QGM,Half-Sibs,0.4821,0.25,,,
QGM,Half-Sibs,0.1366,0.25,,,
QGM,Half-Sibs,0.1329,0.25,,,
QGM,Half-Sibs,0.3864,0.25,,,
QGM,Half-Sibs,0.1409,0.25,,,
QGM,Half-Sibs,0.1655,0.25,,,
QGM,Half-Sibs,0.1924,0.25,,,
QGM,Half-Sibs,0.414,0.25,,,
QGM,Half-Sibs,0.4451,0.25,,,
QGM,Half-Sibs,0.188,0.25,,,
QGM,Half-Sibs,0.324,0.25,,,
QGM,Half-Sibs,0.3229,0.25,,,
QGM,Half-Sibs,0.5607,0.25,,,
QGM,Half-Sibs,0.1094,0.25,,,
QGM,Half-Sibs,0.0173,0.25,,,
QGM,Half-Sibs,-0.0136,0.25,,,
QGM,Half-Sibs,0.0068,0.25,,,
QGM,Half-Sibs,0.3931,0.25,,,
QGM,Half-Sibs,0.0926,0.25,,,
QGM,Half-Sibs,0.2251,0.25,,,
QGM,Half-Sibs,0.0803,0.25,,,
QGM,Half-Sibs,0.2721,0.25,,,
QGM,Half-Sibs,0.2955,0.25,,,
QGM,Half-Sibs,0.2403,0.25,,,
QGM,Half-Sibs,0.2649,0.25,,,
QGM,Half-Sibs,0.1948,0.25,,,
QGM,Half-Sibs,0.4236,0.25,,,
QGM,Half-Sibs,0.2553,0.25,,,
QGM,Half-Sibs,0.3376,0.25,,,
QGM,Half-Sibs,0.1389,0.25,,,
QGM,Half-Sibs,-0.1077,0.25,,,
QGM,Half-Sibs,-0.0113,0.25,,,
QGM,Half-Sibs,0.0682,0.25,,,
QGM,Half-Sibs,-0.0176,0.25,,,
QGM,Half-Sibs,0.371,0.25,,,
QGM,Half-Sibs,0.348,0.25,,,
QGM,Half-Sibs,0.4462,0.25,,,
QGM,Half-Sibs,0.1909,0.25,,,
QGM,Half-Sibs,0.245,0.25,,,
QGM,Half-Sibs,0.4689,0.25,,,
QGM,Half-Sibs,0.2548,0.25,,,
QGM,Half-Sibs,0.0483,0.25,,,
QGM,Half-Sibs,0.3228,0.25,,,
QGM,Half-Sibs,0.2325,0.25,,,
QGM,Half-Sibs,0.0893,0.25,,,
QGM,Half-Sibs,0.2856,0.25,,,
QGM,Half-Sibs,0.2341,0.25,,,
QGM,Half-Sibs,0.1398,0.25,,,
QGM,Half-Sibs,0.5055,0.25,,,
QGM,Half-Sibs,0.3616,0.25,,,
QGM,Half-Sibs,0.2648,0.25,,,
QGM,Half-Sibs,0.1178,0.25,,,
QGM,Half-Sibs,0.3376,0.25,,,
QGM,Half-Sibs,0.4819,0.25,,,
QGM,Half-Sibs,0.015,0.25,,,
QGM,Half-Sibs,0.1993,0.25,,,
QGM,Half-Sibs,0.2149,0.25,,,
QGM,Half-Sibs,0.4417,0.25,,,
QGM,Half-Sibs,0.2166,0.25,,,
QGM,Half-Sibs,0.3088,0.25,,,
QGM,Half-Sibs,0.358,0.25,,,
QGM,Half-Sibs,0.18,0.25,,,
QGM,Half-Sibs,0.2053,0.25,,,
QGM,Half-Sibs,0.4423,0.25,,,
QGM,Half-Sibs,0.3581,0.25,,,
QGM,Half-Sibs,0.0787,0.25,,,
QGM,Half-Sibs,0.2648,0.25,,,
QGM,Half-Sibs,0.2739,0.25,,,
QGM,Half-Sibs,0.3913,0.25,,,
QGM,Half-Sibs,0.131,0.25,,,
QGM,Half-Sibs,0.4991,0.25,,,
QGM,Half-Sibs,0.3305,0.25,,,
QGM,Half-Sibs,0.4158,0.25,,,
QGM,Half-Sibs,0.2193,0.25,,,
QGM,Half-Sibs,0.4953,0.25,,,
QGM,Half-Sibs,0.0882,0.25,,,
QGM,Half-Sibs,0.2143,0.25,,,
QGM,Half-Sibs,0.2588,0.25,,,
QGM,Half-Sibs,0.09,0.25,,,
QGM,Half-Sibs,0.3637,0.25,,,
QGM,Half-Sibs,0.4382,0.25,,,
QGM,Half-Sibs,0.1457,0.25,,,
QGM,Half-Sibs,0.1313,0.25,,,
QGM,Half-Sibs,0.1796,0.25,,,
QGM,Half-Sibs,0.211,0.25,,,
QGM,Half-Sibs,0.0176,0.25,,,
QGM,Half-Sibs,0.1591,0.25,,,
QGM,Half-Sibs,0.3416,0.25,,,
QGM,Half-Sibs,0.2735,0.25,,,
QGM,Half-Sibs,0.2526,0.25,,,
QGM,Half-Sibs,0.4058,0.25,,,
QGM,Half-Sibs,-0.0309,0.25,,,
QGM,Half-Sibs,0.0124,0.25,,,
QGM,Half-Sibs,0.1993,0.25,,,
QGM,Half-Sibs,0.3648,0.25,,,
QGM,Half-Sibs,0.1363,0.25,,,
QGM,Half-Sibs,0.351,0.25,,,
QGM,Half-Sibs,0.1955,0.25,,,
QGM,Half-Sibs,0.1665,0.25,,,
QGM,Half-Sibs,0.2783,0.25,,,
QGM,Half-Sibs,0.3074,0.25,,,
QGM,Half-Sibs,0.3977,0.25,,,
QGM,Half-Sibs,0.1481,0.25,,,
QGM,Half-Sibs,0.272,0.25,,,
QGM,Half-Sibs,0.4935,0.25,,,
QGM,Half-Sibs,0.2944,0.25,,,
QGM,Half-Sibs,0.3516,0.25,,,
QGM,Half-Sibs,0.1478,0.25,,,
QGM,Half-Sibs,0.3504,0.25,,,
QGM,Half-Sibs,0.1214,0.25,,,
QGM,Half-Sibs,0.1208,0.25,,,
QGM,Half-Sibs,0.33,0.25,,,
QGM,Half-Sibs,0.2651,0.25,,,
QGM,Half-Sibs,0.2203,0.25,,,
QGM,Half-Sibs,0.237,0.25,,,
QGM,Half-Sibs,0.3314,0.25,,,
QGM,Half-Sibs,0.2971,0.25,,,
QGM,Half-Sibs,0.2174,0.25,,,
QGM,Half-Sibs,0.4945,0.25,,,
QGM,Half-Sibs,0.3959,0.25,,,
QGM,Half-Sibs,0.3263,0.25,,,
QGM,Half-Sibs,0.3207,0.25,,,
QGM,Half-Sibs,0.366,0.25,,,
QGM,Half-Sibs,0.0128,0.25,,,
QGM,Half-Sibs,0.3375,0.25,,,
QGM,Half-Sibs,0.113,0.25,,,
QGM,Half-Sibs,0.2526,0.25,,,
QGM,Half-Sibs,0.2622,0.25,,,
QGM,Half-Sibs,-0.0352,0.25,,,
QGM,Half-Sibs,0.2543,0.25,,,
QGM,Half-Sibs,-0.1094,0.25,,,
QGM,Half-Sibs,0.2578,0.25,,,
QGM,Half-Sibs,0.4496,0.25,,,
QGM,Half-Sibs,0.3551,0.25,,,
