Estimator,relationship,Relatedness_Value,,,
QGM,Parent-Offspring,0.5128,0.5,,
QGM,Parent-Offspring,0.6352,0.5,"> wilcox.test(QGM_PO_Wilcoxon$Relatedness_Value, QGM_PO_Wilcoxon$...4, mu=0, paired = T, conf.int = T, conf.level = 0.95, exact = F, correct = F)",
QGM,Parent-Offspring,0.4627,0.5,,
QGM,Parent-Offspring,0.4878,0.5,,Wilcoxon signed rank test
QGM,Parent-Offspring,0.3099,0.5,,
QGM,Parent-Offspring,0.4349,0.5,data:  QGM_PO_Wilcoxon$Relatedness_Value and QGM_PO_Wilcoxon$...4,
QGM,Parent-Offspring,0.7162,0.5,"V = 96490, p-value = 0.1356",
QGM,Parent-Offspring,0.4011,0.5,alternative hypothesis: true location shift is not equal to 0,
QGM,Parent-Offspring,0.5168,0.5,95 percent confidence interval:,
QGM,Parent-Offspring,0.4841,0.5, -0.001778241  0.013379267,
QGM,Parent-Offspring,0.4003,0.5,sample estimates:,
QGM,Parent-Offspring,0.4413,0.5,(pseudo)median ,
QGM,Parent-Offspring,0.4673,0.5,0.005822407,
QGM,Parent-Offspring,0.26,0.5,,
QGM,Parent-Offspring,0.505,0.5,,0.091445572
QGM,Parent-Offspring,0.5456,0.5,,0.007317035
QGM,Parent-Offspring,0.2758,0.5,,
QGM,Parent-Offspring,0.3699,0.5,,
QGM,Parent-Offspring,0.5891,0.5,,
QGM,Parent-Offspring,0.3561,0.5,,
QGM,Parent-Offspring,0.533,0.5,,
QGM,Parent-Offspring,0.4216,0.5,,
QGM,Parent-Offspring,0.4139,0.5,,
QGM,Parent-Offspring,0.391,0.5,,
QGM,Parent-Offspring,0.4434,0.5,,
QGM,Parent-Offspring,0.5334,0.5,,
QGM,Parent-Offspring,0.5291,0.5,,
QGM,Parent-Offspring,0.4684,0.5,,
QGM,Parent-Offspring,0.6447,0.5,,
QGM,Parent-Offspring,0.4688,0.5,,
QGM,Parent-Offspring,0.4326,0.5,,
QGM,Parent-Offspring,0.5196,0.5,,
QGM,Parent-Offspring,0.6193,0.5,,
QGM,Parent-Offspring,0.5537,0.5,,
QGM,Parent-Offspring,0.4135,0.5,,
QGM,Parent-Offspring,0.4158,0.5,,
QGM,Parent-Offspring,0.5635,0.5,,
QGM,Parent-Offspring,0.4786,0.5,,
QGM,Parent-Offspring,0.3683,0.5,,
QGM,Parent-Offspring,0.3179,0.5,,
QGM,Parent-Offspring,0.5539,0.5,,
QGM,Parent-Offspring,0.5414,0.5,,
QGM,Parent-Offspring,0.3962,0.5,,
QGM,Parent-Offspring,0.4168,0.5,,
QGM,Parent-Offspring,0.6312,0.5,,
QGM,Parent-Offspring,0.4618,0.5,,
QGM,Parent-Offspring,0.4849,0.5,,
QGM,Parent-Offspring,0.4078,0.5,,
QGM,Parent-Offspring,0.5804,0.5,,
QGM,Parent-Offspring,0.4679,0.5,,
QGM,Parent-Offspring,0.489,0.5,,
QGM,Parent-Offspring,0.3578,0.5,,
QGM,Parent-Offspring,0.5283,0.5,,
QGM,Parent-Offspring,0.4191,0.5,,
QGM,Parent-Offspring,0.5259,0.5,,
QGM,Parent-Offspring,0.4649,0.5,,
QGM,Parent-Offspring,0.4902,0.5,,
QGM,Parent-Offspring,0.5251,0.5,,
QGM,Parent-Offspring,0.5223,0.5,,
QGM,Parent-Offspring,0.5107,0.5,,
QGM,Parent-Offspring,0.5065,0.5,,
QGM,Parent-Offspring,0.4553,0.5,,
QGM,Parent-Offspring,0.3558,0.5,,
QGM,Parent-Offspring,0.5814,0.5,,
QGM,Parent-Offspring,0.2925,0.5,,
QGM,Parent-Offspring,0.5918,0.5,,
QGM,Parent-Offspring,0.5692,0.5,,
QGM,Parent-Offspring,0.4758,0.5,,
QGM,Parent-Offspring,0.5356,0.5,,
QGM,Parent-Offspring,0.6005,0.5,,
QGM,Parent-Offspring,0.583,0.5,,
QGM,Parent-Offspring,0.6323,0.5,,
QGM,Parent-Offspring,0.4354,0.5,,
QGM,Parent-Offspring,0.6184,0.5,,
QGM,Parent-Offspring,0.4462,0.5,,
QGM,Parent-Offspring,0.5931,0.5,,
QGM,Parent-Offspring,0.4163,0.5,,
QGM,Parent-Offspring,0.3972,0.5,,
QGM,Parent-Offspring,0.4441,0.5,,
QGM,Parent-Offspring,0.5241,0.5,,
QGM,Parent-Offspring,0.5365,0.5,,
QGM,Parent-Offspring,0.4828,0.5,,
QGM,Parent-Offspring,0.6319,0.5,,
QGM,Parent-Offspring,0.2873,0.5,,
QGM,Parent-Offspring,0.3729,0.5,,
QGM,Parent-Offspring,0.3962,0.5,,
QGM,Parent-Offspring,0.4016,0.5,,
QGM,Parent-Offspring,0.5806,0.5,,
QGM,Parent-Offspring,0.3976,0.5,,
QGM,Parent-Offspring,0.6091,0.5,,
QGM,Parent-Offspring,0.3521,0.5,,
QGM,Parent-Offspring,0.5434,0.5,,
QGM,Parent-Offspring,0.5859,0.5,,
QGM,Parent-Offspring,0.4725,0.5,,
QGM,Parent-Offspring,0.4267,0.5,,
QGM,Parent-Offspring,0.6144,0.5,,
QGM,Parent-Offspring,0.3569,0.5,,
QGM,Parent-Offspring,0.4079,0.5,,
QGM,Parent-Offspring,0.5531,0.5,,
QGM,Parent-Offspring,0.4606,0.5,,
QGM,Parent-Offspring,0.5056,0.5,,
QGM,Parent-Offspring,0.5579,0.5,,
QGM,Parent-Offspring,0.5295,0.5,,
QGM,Parent-Offspring,0.397,0.5,,
QGM,Parent-Offspring,0.6499,0.5,,
QGM,Parent-Offspring,0.5675,0.5,,
QGM,Parent-Offspring,0.5317,0.5,,
QGM,Parent-Offspring,0.5328,0.5,,
QGM,Parent-Offspring,0.4438,0.5,,
QGM,Parent-Offspring,0.5479,0.5,,
QGM,Parent-Offspring,0.5942,0.5,,
QGM,Parent-Offspring,0.3632,0.5,,
QGM,Parent-Offspring,0.5493,0.5,,
QGM,Parent-Offspring,0.4113,0.5,,
QGM,Parent-Offspring,0.6887,0.5,,
QGM,Parent-Offspring,0.4019,0.5,,
QGM,Parent-Offspring,0.4331,0.5,,
QGM,Parent-Offspring,0.3201,0.5,,
QGM,Parent-Offspring,0.4029,0.5,,
QGM,Parent-Offspring,0.4634,0.5,,
QGM,Parent-Offspring,0.3777,0.5,,
QGM,Parent-Offspring,0.5137,0.5,,
QGM,Parent-Offspring,0.4614,0.5,,
QGM,Parent-Offspring,0.6937,0.5,,
QGM,Parent-Offspring,0.3425,0.5,,
QGM,Parent-Offspring,0.5046,0.5,,
QGM,Parent-Offspring,0.3803,0.5,,
QGM,Parent-Offspring,0.4186,0.5,,
QGM,Parent-Offspring,0.4194,0.5,,
QGM,Parent-Offspring,0.5386,0.5,,
QGM,Parent-Offspring,0.5947,0.5,,
QGM,Parent-Offspring,0.5492,0.5,,
QGM,Parent-Offspring,0.5369,0.5,,
QGM,Parent-Offspring,0.3901,0.5,,
QGM,Parent-Offspring,0.5324,0.5,,
QGM,Parent-Offspring,0.5908,0.5,,
QGM,Parent-Offspring,0.39,0.5,,
QGM,Parent-Offspring,0.5872,0.5,,
QGM,Parent-Offspring,0.4682,0.5,,
QGM,Parent-Offspring,0.5461,0.5,,
QGM,Parent-Offspring,0.272,0.5,,
QGM,Parent-Offspring,0.4974,0.5,,
QGM,Parent-Offspring,0.6415,0.5,,
QGM,Parent-Offspring,0.5171,0.5,,
QGM,Parent-Offspring,0.5599,0.5,,
QGM,Parent-Offspring,0.4641,0.5,,
QGM,Parent-Offspring,0.4362,0.5,,
QGM,Parent-Offspring,0.3504,0.5,,
QGM,Parent-Offspring,0.5371,0.5,,
QGM,Parent-Offspring,0.5385,0.5,,
QGM,Parent-Offspring,0.4621,0.5,,
QGM,Parent-Offspring,0.4407,0.5,,
QGM,Parent-Offspring,0.4492,0.5,,
QGM,Parent-Offspring,0.513,0.5,,
QGM,Parent-Offspring,0.4209,0.5,,
QGM,Parent-Offspring,0.4202,0.5,,
QGM,Parent-Offspring,0.5068,0.5,,
QGM,Parent-Offspring,0.5846,0.5,,
QGM,Parent-Offspring,0.5189,0.5,,
QGM,Parent-Offspring,0.5907,0.5,,
QGM,Parent-Offspring,0.3762,0.5,,
QGM,Parent-Offspring,0.6569,0.5,,
QGM,Parent-Offspring,0.532,0.5,,
QGM,Parent-Offspring,0.3562,0.5,,
QGM,Parent-Offspring,0.4076,0.5,,
QGM,Parent-Offspring,0.5261,0.5,,
QGM,Parent-Offspring,0.5765,0.5,,
QGM,Parent-Offspring,0.515,0.5,,
QGM,Parent-Offspring,0.7107,0.5,,
QGM,Parent-Offspring,0.4496,0.5,,
QGM,Parent-Offspring,0.3653,0.5,,
QGM,Parent-Offspring,0.4456,0.5,,
QGM,Parent-Offspring,0.5318,0.5,,
QGM,Parent-Offspring,0.4151,0.5,,
QGM,Parent-Offspring,0.5521,0.5,,
QGM,Parent-Offspring,0.4516,0.5,,
QGM,Parent-Offspring,0.4678,0.5,,
QGM,Parent-Offspring,0.5779,0.5,,
QGM,Parent-Offspring,0.387,0.5,,
QGM,Parent-Offspring,0.6017,0.5,,
QGM,Parent-Offspring,0.5003,0.5,,
QGM,Parent-Offspring,0.6452,0.5,,
QGM,Parent-Offspring,0.5727,0.5,,
QGM,Parent-Offspring,0.5807,0.5,,
QGM,Parent-Offspring,0.6335,0.5,,
QGM,Parent-Offspring,0.6123,0.5,,
QGM,Parent-Offspring,0.5432,0.5,,
QGM,Parent-Offspring,0.4404,0.5,,
QGM,Parent-Offspring,0.5564,0.5,,
QGM,Parent-Offspring,0.4355,0.5,,
QGM,Parent-Offspring,0.4714,0.5,,
QGM,Parent-Offspring,0.5078,0.5,,
QGM,Parent-Offspring,0.4646,0.5,,
QGM,Parent-Offspring,0.4899,0.5,,
QGM,Parent-Offspring,0.5481,0.5,,
QGM,Parent-Offspring,0.4891,0.5,,
QGM,Parent-Offspring,0.4915,0.5,,
QGM,Parent-Offspring,0.4646,0.5,,
QGM,Parent-Offspring,0.5967,0.5,,
QGM,Parent-Offspring,0.4631,0.5,,
QGM,Parent-Offspring,0.5966,0.5,,
QGM,Parent-Offspring,0.5063,0.5,,
QGM,Parent-Offspring,0.48,0.5,,
QGM,Parent-Offspring,0.5081,0.5,,
QGM,Parent-Offspring,0.4968,0.5,,
QGM,Parent-Offspring,0.52,0.5,,
QGM,Parent-Offspring,0.5838,0.5,,
QGM,Parent-Offspring,0.3647,0.5,,
QGM,Parent-Offspring,0.4185,0.5,,
QGM,Parent-Offspring,0.3776,0.5,,
QGM,Parent-Offspring,0.5628,0.5,,
QGM,Parent-Offspring,0.2804,0.5,,
QGM,Parent-Offspring,0.478,0.5,,
QGM,Parent-Offspring,0.4382,0.5,,
QGM,Parent-Offspring,0.6352,0.5,,
QGM,Parent-Offspring,0.5085,0.5,,
QGM,Parent-Offspring,0.4727,0.5,,
QGM,Parent-Offspring,0.5685,0.5,,
QGM,Parent-Offspring,0.5707,0.5,,
QGM,Parent-Offspring,0.5733,0.5,,
QGM,Parent-Offspring,0.2763,0.5,,
QGM,Parent-Offspring,0.4498,0.5,,
QGM,Parent-Offspring,0.6638,0.5,,
QGM,Parent-Offspring,0.3759,0.5,,
QGM,Parent-Offspring,0.4909,0.5,,
QGM,Parent-Offspring,0.507,0.5,,
QGM,Parent-Offspring,0.4087,0.5,,
QGM,Parent-Offspring,0.3979,0.5,,
QGM,Parent-Offspring,0.4101,0.5,,
QGM,Parent-Offspring,0.2554,0.5,,
QGM,Parent-Offspring,0.2841,0.5,,
QGM,Parent-Offspring,0.4956,0.5,,
QGM,Parent-Offspring,0.3701,0.5,,
QGM,Parent-Offspring,0.4807,0.5,,
QGM,Parent-Offspring,0.5099,0.5,,
QGM,Parent-Offspring,0.5277,0.5,,
QGM,Parent-Offspring,0.6038,0.5,,
QGM,Parent-Offspring,0.5871,0.5,,
QGM,Parent-Offspring,0.5962,0.5,,
QGM,Parent-Offspring,0.2231,0.5,,
QGM,Parent-Offspring,0.626,0.5,,
QGM,Parent-Offspring,0.6249,0.5,,
QGM,Parent-Offspring,0.5266,0.5,,
QGM,Parent-Offspring,0.5899,0.5,,
QGM,Parent-Offspring,0.5526,0.5,,
