,Estimator,relationship,Relatedness_Value
1,LRM,Parent-Offspring,0.2798
2,LRM,Parent-Offspring,0.3457
3,LRM,Parent-Offspring,0.6187
4,LRM,Parent-Offspring,0.494
5,LRM,Parent-Offspring,0.4353
6,LRM,Parent-Offspring,0.4123
7,LRM,Parent-Offspring,0.489
8,LRM,Parent-Offspring,0.4185
9,LRM,Parent-Offspring,0.3761
10,LRM,Parent-Offspring,0.5719
11,LRM,Parent-Offspring,0.2676
12,LRM,Parent-Offspring,0.3562
13,LRM,Parent-Offspring,0.3053
14,LRM,Parent-Offspring,0.4108
15,LRM,Parent-Offspring,0.441
16,LRM,Parent-Offspring,0.539
17,LRM,Parent-Offspring,0.356
18,LRM,Parent-Offspring,0.3614
19,LRM,Parent-Offspring,0.6027
20,LRM,Parent-Offspring,0.2794
21,LRM,Parent-Offspring,0.3329
22,LRM,Parent-Offspring,0.5582
23,LRM,Parent-Offspring,0.5241
24,LRM,Parent-Offspring,0.4321
25,LRM,Parent-Offspring,0.5224
26,LRM,Parent-Offspring,0.5088
27,LRM,Parent-Offspring,0.6337
28,LRM,Parent-Offspring,0.2744
29,LRM,Parent-Offspring,0.5862
30,LRM,Parent-Offspring,0.3303
31,LRM,Parent-Offspring,0.5597
32,LRM,Parent-Offspring,0.5313
33,LRM,Parent-Offspring,0.4252
34,LRM,Parent-Offspring,0.3356
35,LRM,Parent-Offspring,0.4182
36,LRM,Parent-Offspring,0.5015
37,LRM,Parent-Offspring,0.6853
38,LRM,Parent-Offspring,0.5418
39,LRM,Parent-Offspring,0.5964
40,LRM,Parent-Offspring,0.388
41,LRM,Parent-Offspring,0.6686
42,LRM,Parent-Offspring,0.4777
43,LRM,Parent-Offspring,0.5092
44,LRM,Parent-Offspring,0.285
45,LRM,Parent-Offspring,0.6095
46,LRM,Parent-Offspring,0.6221
47,LRM,Parent-Offspring,0.6564
48,LRM,Parent-Offspring,0.3053
49,LRM,Parent-Offspring,0.7068
50,LRM,Parent-Offspring,0.4478
51,LRM,Parent-Offspring,0.3982
52,LRM,Parent-Offspring,0.5014
53,LRM,Parent-Offspring,0.2882
54,LRM,Parent-Offspring,0.4689
55,LRM,Parent-Offspring,0.4216
56,LRM,Parent-Offspring,0.7209
57,LRM,Parent-Offspring,0.5612
58,LRM,Parent-Offspring,0.4491
59,LRM,Parent-Offspring,0.6033
60,LRM,Parent-Offspring,0.7015
61,LRM,Parent-Offspring,0.4438
62,LRM,Parent-Offspring,0.3648
63,LRM,Parent-Offspring,0.4771
64,LRM,Parent-Offspring,0.5204
65,LRM,Parent-Offspring,0.3211
66,LRM,Parent-Offspring,0.6725
67,LRM,Parent-Offspring,0.5703
68,LRM,Parent-Offspring,0.468
69,LRM,Parent-Offspring,0.6651
70,LRM,Parent-Offspring,0.6559
71,LRM,Parent-Offspring,0.7502
72,LRM,Parent-Offspring,0.5454
73,LRM,Parent-Offspring,0.5061
74,LRM,Parent-Offspring,0.6636
75,LRM,Parent-Offspring,0.2956
76,LRM,Parent-Offspring,0.5976
77,LRM,Parent-Offspring,0.4506
78,LRM,Parent-Offspring,0.506
79,LRM,Parent-Offspring,0.4704
80,LRM,Parent-Offspring,0.3706
81,LRM,Parent-Offspring,0.4805
82,LRM,Parent-Offspring,0.4274
83,LRM,Parent-Offspring,0.5728
84,LRM,Parent-Offspring,0.1984
85,LRM,Parent-Offspring,0.4565
86,LRM,Parent-Offspring,0.5714
87,LRM,Parent-Offspring,0.4863
88,LRM,Parent-Offspring,0.6147
89,LRM,Parent-Offspring,0.3232
90,LRM,Parent-Offspring,0.5379
91,LRM,Parent-Offspring,0.5675
92,LRM,Parent-Offspring,0.4636
93,LRM,Parent-Offspring,0.4672
94,LRM,Parent-Offspring,0.4005
95,LRM,Parent-Offspring,0.4198
96,LRM,Parent-Offspring,0.5588
97,LRM,Parent-Offspring,0.5837
98,LRM,Parent-Offspring,0.5062
99,LRM,Parent-Offspring,0.705
100,LRM,Parent-Offspring,0.5009
101,LRM,Parent-Offspring,0.4548
102,LRM,Parent-Offspring,0.5773
103,LRM,Parent-Offspring,0.4734
104,LRM,Parent-Offspring,0.4411
105,LRM,Parent-Offspring,0.5505
106,LRM,Parent-Offspring,0.5612
107,LRM,Parent-Offspring,0.5894
108,LRM,Parent-Offspring,0.6556
109,LRM,Parent-Offspring,0.4631
110,LRM,Parent-Offspring,0.4741
111,LRM,Parent-Offspring,0.4453
112,LRM,Parent-Offspring,0.3134
113,LRM,Parent-Offspring,0.5709
114,LRM,Parent-Offspring,0.1918
115,LRM,Parent-Offspring,0.6289
116,LRM,Parent-Offspring,0.5959
117,LRM,Parent-Offspring,0.4382
118,LRM,Parent-Offspring,0.3648
119,LRM,Parent-Offspring,0.2743
120,LRM,Parent-Offspring,0.5581
121,LRM,Parent-Offspring,0.3584
122,LRM,Parent-Offspring,0.5014
123,LRM,Parent-Offspring,0.5189
124,LRM,Parent-Offspring,0.7071
125,LRM,Parent-Offspring,0.4161
126,LRM,Parent-Offspring,0.519
127,LRM,Parent-Offspring,0.3597
128,LRM,Parent-Offspring,0.5242
129,LRM,Parent-Offspring,0.4386
130,LRM,Parent-Offspring,0.511
131,LRM,Parent-Offspring,0.508
132,LRM,Parent-Offspring,0.5959
133,LRM,Parent-Offspring,0.3065
134,LRM,Parent-Offspring,0.4851
135,LRM,Parent-Offspring,0.4953
136,LRM,Parent-Offspring,0.5317
137,LRM,Parent-Offspring,0.4001
138,LRM,Parent-Offspring,0.5754
139,LRM,Parent-Offspring,0.532
140,LRM,Parent-Offspring,0.675
141,LRM,Parent-Offspring,0.3781
142,LRM,Parent-Offspring,0.5094
143,LRM,Parent-Offspring,0.6005
144,LRM,Parent-Offspring,0.4951
145,LRM,Parent-Offspring,0.7898
146,LRM,Parent-Offspring,0.5718
147,LRM,Parent-Offspring,0.2574
148,LRM,Parent-Offspring,0.3408
149,LRM,Parent-Offspring,0.6564
150,LRM,Parent-Offspring,0.5139
151,LRM,Parent-Offspring,0.5351
152,LRM,Parent-Offspring,0.3974
153,LRM,Parent-Offspring,0.3008
154,LRM,Parent-Offspring,0.4905
155,LRM,Parent-Offspring,0.4447
156,LRM,Parent-Offspring,0.5406
157,LRM,Parent-Offspring,0.2924
158,LRM,Parent-Offspring,0.4153
159,LRM,Parent-Offspring,0.4753
160,LRM,Parent-Offspring,0.6454
161,LRM,Parent-Offspring,0.3819
162,LRM,Parent-Offspring,0.5561
163,LRM,Parent-Offspring,0.4208
164,LRM,Parent-Offspring,0.2994
165,LRM,Parent-Offspring,0.5804
166,LRM,Parent-Offspring,0.5501
167,LRM,Parent-Offspring,0.5282
168,LRM,Parent-Offspring,0.516
169,LRM,Parent-Offspring,0.6158
170,LRM,Parent-Offspring,0.62
171,LRM,Parent-Offspring,0.5053
172,LRM,Parent-Offspring,0.4405
173,LRM,Parent-Offspring,0.5487
174,LRM,Parent-Offspring,0.4699
175,LRM,Parent-Offspring,0.7232
176,LRM,Parent-Offspring,0.5812
177,LRM,Parent-Offspring,0.5159
178,LRM,Parent-Offspring,0.4357
179,LRM,Parent-Offspring,0.373
180,LRM,Parent-Offspring,0.6506
181,LRM,Parent-Offspring,0.6149
182,LRM,Parent-Offspring,0.6351
183,LRM,Parent-Offspring,0.6455
184,LRM,Parent-Offspring,0.6908
185,LRM,Parent-Offspring,0.4235
186,LRM,Parent-Offspring,0.5379
187,LRM,Parent-Offspring,0.5362
188,LRM,Parent-Offspring,0.5704
189,LRM,Parent-Offspring,0.6169
190,LRM,Parent-Offspring,0.3495
191,LRM,Parent-Offspring,0.3332
192,LRM,Parent-Offspring,0.4758
193,LRM,Parent-Offspring,0.4128
194,LRM,Parent-Offspring,0.5825
195,LRM,Parent-Offspring,0.5708
196,LRM,Parent-Offspring,0.5517
197,LRM,Parent-Offspring,0.4695
198,LRM,Parent-Offspring,0.4606
199,LRM,Parent-Offspring,0.5316
200,LRM,Parent-Offspring,0.5105
201,LRM,Parent-Offspring,0.6078
202,LRM,Parent-Offspring,0.7033
203,LRM,Parent-Offspring,0.4835
204,LRM,Parent-Offspring,0.31
205,LRM,Parent-Offspring,0.5106
206,LRM,Parent-Offspring,0.4476
207,LRM,Parent-Offspring,0.5498
208,LRM,Parent-Offspring,0.4701
209,LRM,Parent-Offspring,0.5531
210,LRM,Parent-Offspring,0.5055
211,LRM,Parent-Offspring,0.5252
212,LRM,Parent-Offspring,0.3475
213,LRM,Parent-Offspring,0.4169
214,LRM,Parent-Offspring,0.5688
215,LRM,Parent-Offspring,0.6914
216,LRM,Parent-Offspring,0.5796
217,LRM,Parent-Offspring,0.5839
218,LRM,Parent-Offspring,0.4878
219,LRM,Parent-Offspring,0.5632
220,LRM,Parent-Offspring,0.4824
221,LRM,Parent-Offspring,0.4968
222,LRM,Parent-Offspring,0.6128
223,LRM,Parent-Offspring,0.6724
224,LRM,Parent-Offspring,0.3774
225,LRM,Parent-Offspring,0.4758
226,LRM,Parent-Offspring,0.5821
227,LRM,Parent-Offspring,0.4155
228,LRM,Parent-Offspring,0.5532
229,LRM,Parent-Offspring,0.3594
230,LRM,Parent-Offspring,0.2376
231,LRM,Parent-Offspring,0.2698
232,LRM,Parent-Offspring,0.4365
233,LRM,Parent-Offspring,0.3171
234,LRM,Parent-Offspring,0.5247
235,LRM,Parent-Offspring,0.5012
236,LRM,Parent-Offspring,0.4904
237,LRM,Parent-Offspring,0.5314
238,LRM,Parent-Offspring,0.5269
